"southern-american","southern-american","South America","South American","south-american","southern american"
"cambodian","cambodian","cambodia"
"vietnamese","vietnamese","vietnam"
"sri lankan","sri lankan","sri lanka"
"japanese","japanese","japan"
"indonesian","indonesian","indonesia"
"tunisian","tunisian","tunisia"
"spanish","spanish","spain"
"persian","persian","persia"
"polish","polish","poland"
"ghanaian","ghanaian","ghana"
"lebanese","lebanese","lebanon"
"portuguese","portuguese","portugal"
"mexican","mexican","mexico"
"american","american","america"
"jamaican","jamaican","jamaica"
"cantonese","cantonese"
"german","german","germany"
"scottish","scottish","scotland"
"italian","italian","italy"
"north african","north african","North Africa","northern africa","north-african","north-africa"
"turkish","turkish","Turkey"
"asian","asian","Asia"
"east-asian","east-asian","East-Asia","east asian","east asia"
"russian","russian","Russia"
"taiwanese","taiwanese","Taiwan"
"swiss","swiss","Switzerland"
"peruvian","peruvian","Peru"
"fijian","fijian","Fiji"
"seychelles","seychelles","Seychelles"
"middle-eastern","middle-eastern","Middle East","middle eastern","Middle-East"
"bengali","bengali","Bengal"
"indian","indian","India"
"pan-asian","pan-asian","Pan Asia","pan asian","Pan-Asia"
"mediterranean","mediterranean"
"nigerian","nigerian","Nigeria"
"greek","greek","Greece"
"iranian","iranian","Iran"
"malaysian","malaysian","Malaysia"
"caribbean","caribbean"
"irish","irish","Ireland"
"british-indian","british-indian","british-india","british indian","british india"
"hawaiian","hawaiian","Hawaii"
"west african","west african","West Africa","west-african","West-Africa","western africa"
"ukrainian","ukrainian","Ukraine"
"korean","korean","Korea"
"french","french","France"
"thai","thai","Thailand"
"scandinavian","scandinavian","Scandinavia"
"english","english","England"
"swedish","swedish","Sweden"
"british","british","Great-Brittain","great brittain"
"unspecified","unspecified"
"chinese","chinese","China"
"italian-american","italian-american","italian american"
"african","african","africa"
